addgene_id,plasmid_name,plasmid_url,expected_local_filename,purpose,download_status,sequence_source,has_explicit_promoter,promoter_count,annotation_completeness,inclusion_status,exclusion_reason,sha256
74675,pAmeR-F1,https://www.addgene.org/74675/,pAmeR-F1.gb,AmeR-F1 gate,pending,Addgene GenBank,,,,pending,,
74676,pAmtR-A1,https://www.addgene.org/74676/,pAmtR-A1.gb,AmtR-A1 gate,pending,Addgene GenBank,,,,pending,,
74677,pBetI-E1,https://www.addgene.org/74677/,pBetI-E1.gb,BetI-E1 gate,pending,Addgene GenBank,,,,pending,,
74678,pBM3R1-B1,https://www.addgene.org/74678/,pBM3R1-B1.gb,BM3R1-B1 gate,pending,Addgene GenBank,,,,pending,,
74679,pBM3R1-B2,https://www.addgene.org/74679/,pBM3R1-B2.gb,BM3R1-B2 gate,pending,Addgene GenBank,,,,pending,,
74680,pBM3R1-B3,https://www.addgene.org/74680/,pBM3R1-B3.gb,BM3R1-B3 gate,pending,Addgene GenBank,,,,pending,,
74681,pHlyIIR-H1,https://www.addgene.org/74681/,pHlyIIR-H1.gb,HlyIIR-H1 gate,pending,Addgene GenBank,,,,pending,,
74682,pIcaRA-I1,https://www.addgene.org/74682/,pIcaRA-I1.gb,IcaRA-I1 gate,pending,Addgene GenBank,,,,pending,,
74683,pLitR-L1,https://www.addgene.org/74683/,pLitR-L1.gb,LitR-L1 gate,pending,Addgene GenBank,,,,pending,,
74684,pLmrA-N1,https://www.addgene.org/74684/,pLmrA-N1.gb,LmrA-N1 gate,pending,Addgene GenBank,,,,pending,,
74685,pPhlF-P1,https://www.addgene.org/74685/,pPhlF-P1.gb,PhlF-P1 gate,pending,Addgene GenBank,,,,pending,,
74686,pPhlF-P2,https://www.addgene.org/74686/,pPhlF-P2.gb,PhlF-P2 gate,pending,Addgene GenBank,,,,pending,,
74687,pPhlF-P3,https://www.addgene.org/74687/,pPhlF-P3.gb,PhlF-P3 gate,pending,Addgene GenBank,,,,pending,,
74688,pPsrA-R1,https://www.addgene.org/74688/,pPsrA-R1.gb,PsrA-R1 gate,pending,Addgene GenBank,,,,pending,,
74689,pQacR-Q1,https://www.addgene.org/74689/,pQacR-Q1.gb,QacR-Q1 gate,pending,Addgene GenBank,,,,pending,,
74690,pQacR-Q2,https://www.addgene.org/74690/,pQacR-Q2.gb,QacR-Q2 gate,pending,Addgene GenBank,,,,pending,,
74691,pSrpR-S1,https://www.addgene.org/74691/,pSrpR-S1.gb,SrpR-S1 gate,pending,Addgene GenBank,,,,pending,,
74692,pSrpR-S2,https://www.addgene.org/74692/,pSrpR-S2.gb,SrpR-S2 gate,pending,Addgene GenBank,,,,pending,,
74693,pSrpR-S3,https://www.addgene.org/74693/,pSrpR-S3.gb,SrpR-S3 gate,pending,Addgene GenBank,,,,pending,,
74694,pSrpR-S4,https://www.addgene.org/74694/,pSrpR-S4.gb,SrpR-S4 gate,pending,Addgene GenBank,,,,pending,,
74695,pAN1201,https://www.addgene.org/74695/,pAN1201.gb,Circuit backbone plasmid (LacZa insert),pending,Addgene GenBank,,,,pending,,
74696,pAN1717,https://www.addgene.org/74696/,pAN1717.gb,RPU standard plasmid,pending,Addgene GenBank,,,,pending,,
74698,pAN4036,https://www.addgene.org/74698/,pAN4036.gb,Output plasmid PPhlF-PAmtR-YFP,pending,Addgene GenBank,,,,pending,,
74699,pAN3945,https://www.addgene.org/74699/,pAN3945.gb,Circuit plasmid 0x41,pending,Addgene GenBank,,,,pending,,
74701,pAN4023,https://www.addgene.org/74701/,pAN4023.gb,Output plasmid PBM3R1-YFP,pending,Addgene GenBank,,,,pending,,
74702,pAN3944,https://www.addgene.org/74702/,pAN3944.gb,Circuit plasmid 0x1C,pending,Addgene GenBank,,,,pending,,
74703,pAN4037,https://www.addgene.org/74703/,pAN4037.gb,Output plasmid PPhlF-PBetI-YFP,pending,Addgene GenBank,,,,pending,,
